YearsExperience,Salary,Job_Title
1.1,39343.00,Data Analyst
1.3,46205.00,Data Analyst
1.5,37731.00,ML Intern
2.0,43525.00,Software Engineer
2.2,39891.00,Software Engineer
2.9,56642.00,Data Scientist
3.0,60150.00,AI Engineer
3.2,54445.00,Data Scientist
3.2,64445.00,AI Engineer
3.7,57189.00,Machine Learning Engineer
3.9,63218.00,AI Engineer
4.0,55794.00,Machine Learning Engineer
4.0,56957.00,Data Scientist
4.1,57081.00,AI Engineer
4.5,61111.00,Machine Learning Engineer
4.9,67938.00,AI Engineer
5.1,66029.00,Senior Data Scientist
5.3,83088.00,Senior AI Engineer
5.9,81363.00,Senior AI Engineer
6.0,93940.00,Senior AI Engineer
6.8,91738.00,Senior Machine Learning Engineer
7.1,98273.00,Senior AI Engineer
7.9,101302.00,Principal Data Scientist
8.2,113812.00,Principal AI Engineer
8.7,109431.00,Principal AI Engineer
9.0,105582.00,AI Architect
9.5,116969.00,AI Architect
9.6,112635.00,Principal AI Engineer
10.3,122391.00,AI Architect
10.5,121872.00,AI Architect
